FH_CORTE|FH_INFORMACION|NU_CTO|NU_CTE|CD_BANCO|CD_SUCURSAL|TP_CUENTA_CHEQUES|NU_CTA|CD_TARJETA|NU_BIN_TARJETA|NU_TARJETA|TP_TARJETA|CD_OFICINA_GESTORA|CD_SUBPRODUCTO|CD_VENCIMIENTO_TDC|CD_BANCO_CONTRATO|CD_OFICINA_CONTRATO|TP_CONTRATO|NU_CONTRATO|NU_CAJERO|NU_AFILIACION|CD_TERMINAL_OPERACION|CD_GIRO|CD_ADQUIRENTE|CD_OFICINA_CAJERO|TP_MENSAJE|CD_OPERACION|TP_CUENTA|TP_CUENTA_DESTINO|NU_REF_EGLOBAL|CD_RETORNO|CD_RAZON_RET|NU_OPERACION|FH_OPERACION|HM_HORA|IM_TRANSACCION|CD_MONEDA|IM_TRANSACCION_ORIGINAL|CD_MONEDA_ORIGINAL|IM_COMISION_TP_CAMBIO|IM_COMISION|FH_CONTABLE|NU_OPERACION_ORIGINAL|FH_OPERACION_ORIGINAL|HM_HORA_OPE_ORIGINAL|NU_TERMINAL_ORIGEN|CD_BANCO_ORIGEN|ST_OPERACION_4B|ST_OPER_EXTRANJERO|CD_RESOLUTOR_OPERACION|NU_REFER_AUTRZCN|NU_MOVIMIENTO|CD_CANAL|ST_CTRL_AUTORIZACION|ST_OP_APROB_TJ_BAJA|ST_SITUA_AUTORIZACION|ST_RESOLUCION_FINAL|TP_TAJETA_PA|TP_INDICADOR_OPERACION|ST_TP_DOMILICIACION|CD_PAIS_LETRA|NU_REMESA|CD_ID_ADQUIRIENTE|NB_COMERCIO|HR_REGISTRO_SISTEMA|TP_CTA_SEL_ORIGEN|TP_CTA_SEL_DESTINO|TP_POS_ENTRY_MODE1|TP_POS_ENTRY_MODE2|TP_CAVV|TP_LIBRE_5|TP_ECI|TP_CVV2|TP_RESPUESTA_CVV2|ST_EMV_TERM_CAPABILITY|IM_SALDO|IM_LIMITE|FH_ALTA_TARJETA|ST_RESTRICION_TARJETA|CD_POSTAL_COMERCIO|CD_PAIS|NB_ESTADO_CORTO|CD_DECISION_FALCON|NU_VERSION_TPV|NU_BLOCK_TPV|NU_OPERACION_RED6000|NB_DESCRIPCION|IX_CROSS_BORDER|FH_CARGA|TP_CARGO|NB_OPERACION|IX_REVERSO|IM_MONEDA_ORIGEN|IM_CAMBIO_MON_ORIG|IM_CAMBIO_MON_DIVI|FH_TIPO_CAMBIO|CD_DIVISA_TXN|IM_PTOS_ANTES_COMP|CT_PTOS_ANTES_COMP|IM_PESOS_PUNTOS|NU_PUNTOS_REDIMIDO|CD_CANAL_VNET|CD_POS_MODO_ENTRAD|CD_VALIDA_CVV3|CD_VALIDA_LYNX|CD_CAMP_ACTI_GARAN|CD_PTOS_OTOR_GARAN|CD_AVISOS_GARANTIA|CD_REFERENCIA_CAMP|CD_ASOCIACIO_TARJ|CD_TERMINAL_ADQU|CD_AUTORIZA_PENDIE|CD_LOCALIZA_TERMIN|CD_PRES_TARJHABIEN|CD_PRESENC_TARJETA|CD_CAPTURA_TARJETA|CD_STATUS|CD_SEGU_NIVEL_ADQ|CD_SCORE_EMISOR|CD_SCORE_ADQUIRENT|CD_CTA_COMPROMETID|CD_EVENTO_COMPROME|CD_PAN|CD_CTA_ABONO|CD_PAGO_ASIG_TERM|PC_PAGO|CD_SEGU_COMER_ELEC|CD_VERIFIC_TARJETA|CD_DIFERIMIENTO|CD_PARCILIZACION|TP_PLAN|TP_MULTIPAG_RECIBI|CD_CONVENIO|CD_REFERENCIA|NB_RAZON_SOCI_CONV|CD_GUIA_CIE_UDIS|CD_FOLIO_SUCURSAL|CD_REQ_REVERSO|CD_CONTA_TRANSACCI|CD_PAIS_TERMINAL|CD_MONEDA_EXT|FH_POSTEADA_ADQ|CD_TXN_FINANCIERA|TP_TERMINAL_EMV|CD_ENTRAD_PTO_SERV|CD_CAPACIDAD_TERMI|CD_TARJ_MISMO_PAN|CD_TXN_AUTOR_LINEA|CD_RESP_EMISOR|NB_AUTENT_EMISOR|FH_OPERACION_HORA|FH_TARJETA_ALTA|FH_TARJETA_SITUA|ST_FRAUDE|CD_CLIENTE|CD_SUCURSAL_CTO|CD_SUCURSAL_CTA|CD_RETENCION|ST_TARJETA|CD_CHIP
01/12/2016|15/12/2016|13|13|74|7681|26|13|4152310000000013|415231|13||4426|VD|AAMM|74|5836|44|14866837|5570|55700000|||74|6062|1200|1|20|0|0|1|44|9171|14/12/2016|194026|8300|MXP|8300|MXP|0|0|14/12/2016||14/12/2016|194026|5570|74|N|N|OBBV||0|CAJE|N||||P|D|N|MX|||55700000|14/12/2016 19:40|1||0|5||||||5|8000|0|01/01/0001|1|||||0|0|99|1|0|15/12/2016|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/04/2017|11/04/2017|63|63|74|371|11|63|4152310000000063|415231|63||371|VD|AAMM|74|371|44|90499562||4401626|50UZY001|5499|C001||1200|0|20|99|434634|0|0|86761778|09/04/2017|133806|100|MXP|100|MXP|0|0|10/04/2017|0|09/04/2017|0|Y001|GLOB|N|N|OBBV|712054|28|TPV|N|||20|P|D|N|MX||12|OXXO MICHOACAN ME          A8|09/04/2017 13:36|1||0|5||0|0|||8|986.99|0|07/09/2016|1|8100|MX|DF||0|0|110||0|11/04/2017|PRESENTE|COMPRA DEBITO SIN FIRMA||0|0|0|01/01/0001||0|0|0|0||||4|N|||17D09N||0|0|0|0|0|0|0|0|||||||||0||0|0|0||0|||0||0|48|484|484|09/04/2017|0|22|51|5|1||||0001-01-01|0001-01-01|0001-01-01||J4576874|371|371|||SI
01/02/2017|28/02/2017|48|48|74|5021|1|48|4152310000000048|415231|48||5021|VD|AAMM|74|5021|66|88734693||4100510|95530003|5541|C001||1200|0|20|0|800135|0|0|501434499|25/02/2017|14344|714|MXP|714|MXP|0|0|27/02/2017|0|25/02/2017|0|3|GLOB|N|N|OBBV|552378|84|TPV|N|||20|P|D|N|MX||12|OXXO GAS PIEDRA G          A5|25/02/2017 13:43|1||0|5||4|0|||5|71943.67|0|08/07/2016|1|98693|MX|ZA||0|0|110||0|28/02/2017|PRESENTE|Compra||0|0|0|01/01/0001||0|0|0|0||||4|N|||17B25B||0|0|0|0|0|0|0|0|||||||||0||0|0|0||0|||0||0|79|484|484|25/02/2017|0|22|51|5|1||||0001-01-01|0001-01-01|0001-01-01||84652502|5021|5021|||SI
01/11/2016|19/11/2016|94|94|74|467|28|94|4152310000000094|415231|94||467|VD|AAMM|74|467|44|23166830|2083|20830000|||74|6062|1200|38|20|0|0|0|38|3706|18/11/2016|185735|0|MXP|0|MXP|0|0|18/11/2016||18/11/2016|185735|2083|74|N|N|OBBV||0|CAJE|N|||20|P|D|N|MX|||20830000|18/11/2016 18:57|1||9|0|||||||17022.46|0|01/11/2012|1|||||0|1|99|1|0|19/11/2016|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/04/2017|18/04/2017|52|52|74|5201|28|52|4772130000000052|477213|52|TDC|5201|AV|AAMM|74|5201|74|1447568||7191443|71914|4511|P003||1100|0|30|0|385792|0|0|718060703|17/04/2017|120151|6981|MXP|6981|MXP|0|0|17/04/2017|0|17/04/2017|0|71|GLOB|N|N|OBBV|500036|230|TPV|N|||30|P|A|P|MX||10034567901|VOLARIS ECOM MXN           C1|17/04/2017 13:01|3||0|1|0|9|7|||1|49222.88|109300|01/03/2017|4|1210|MX|0||0|1|0|57|0|18/04/2017|ECOM|COMPRA CREDITO ONLINE(AUTOR)||0|0|0|01/01/0001||0|0|0|0||||9||||17D17M||1|0|2|5|1|0|0|0|||||||||71||0|0|0||0|||0||||||0001-01-01|||||||||0001-01-01|0001-01-01|0001-01-01||60409199|5201|5201|||SI
01/01/2017|07/01/2017|14|14|74|3938|11|14|4152310000000014|415231|14||483|VD|AAMM|74|338|44|93668213|9762|97620000|||74|6062|1200|30|20|0|0|0|0|8992|06/01/2017|134415|0|MXP|0|MXP|0|0|06/01/2017||06/01/2017|134415|9762|74|N|N|OBBV|8992|0|CAJE|N|||20|P|D|N|MX|||97620000|06/01/2017 13:44|2||0|5||||||5|12077.84|0|03/09/2012|1|||||0|0|99|1|0|07/01/2017||Consulta-Saldo||0|0|0|01/01/0001||0|0|0|0||||||||||||||||||||||0||||0||0|0|0||0|||0||0|341|484|484|06/01/2017|30|14|51|5|1||||0001-01-01|0001-01-01|0001-01-01||A6403560|338|3938|||SI
01/02/2017|28/02/2017|26|26|74|5059|11|26|4152310000000026|415231|26||5059|VD|AAMM|74|5059|44|42494134|A905|432690000|||74|5202|1200|1|20|0|0|0|0|65|27/02/2017|142202|5000|MXP|5000|MXP|0|0|27/02/2017||27/02/2017|142202|A905|74|N|N|OBBV|263240|34|CAJE|N|||20|P|D|N|MX|||432690000|27/02/2017 14:22|2||0|5||||||5|17968.52|0|10/03/2016|1|||||0|0|99|1|0|28/02/2017||Retiro cajero||0|0|0|01/01/0001||0|0|0|0||||||||||||||||||||||0|0|||0||0|0|0||0|||0||0|9|484|484|27/02/2017|1|14|51|5|1||||0001-01-01|0001-01-01|0001-01-01||68696143|5059|5059|||SI
01/03/2017|28/03/2017|83|83|74|4124|26|83|4152310000000083|415231|83||4124|VD|AAMM|74|4124|44|21112591||303418|31541863|6211|VISA||1200|0|20|0|962703|1|51|707034462|27/03/2017|143609|3845.97|MXP|3845.97|MXP|0|0|27/03/2017|0|27/03/2017|0|1863|GLOB|N|N|OBBV||0|TPV|N|||20|P|D|N|CN||493808|MAS*Commodiusfx            C0|27/03/2017 14:34|1||0|1|0|9|7|||0|207.23|0|01/01/0001|1|0|CN|||0|1|0||1|28/03/2017|ECOM|Compra||0|0|51885280|01/01/0001||0|0|0|0||||9||||||1|0|2|5|0|0|0|0|||||||||71||0|0|0||0|||0||||||0001-01-01|||||||||0001-01-01|0001-01-01|0001-01-01||484829|4124|4124|||SI
01/02/2017|16/02/2017|61|61|74|3683|27|61|5546290000000061|554629|61|TDC|1018|UM|AAMM|74|1018|73|53395963||6917926|6917926|5967|C001||1100|0|30|0|140261|0|0|996125365|15/02/2017|180521|850|MXP|850|MXP|0|0|15/02/2017|0|15/02/2017|0|7926|GLOB|N|N|OBBV|605308|96|TPV|N|||30|P|A|P|MX||12|MERCADOPAGO MU12           C6|15/02/2017 18:05|3||0|1||8|1|||6|35736.18|106500|04/07/2014|1|11560|MX|DF||0|1|0|9|0|16/02/2017|MOTO|Compra||0|0|0|01/01/0001||0|0|0|0||||8|N|||17B15S||0|0|3|1|1|0|0|0|||||||||11||0|12|3||0|||0||||||0001-01-01|||||||||0001-01-01|0001-01-01|0001-01-01||2652918|1018|3683|||SI
01/04/2017|11/04/2017|0000003|0000003|74|3608|1|0000003|4152310000000003|415231|0000000003|?|3608|VD|AAMM|74|3608|44|74322209|?|4012702|0050DGA1|5499|C001|?|1200|0|20|99|940089|0|0|85543115|08/04/2017|55541|65.5|MXP|65.5|MXP|0|0|10/04/2017|0|08/04/2017|0|DGA1|GLOB|N|N|OBBV|180000|136|TPV|N|?|?|20|P|D|N|MX|?|12|OXXO NEZAHUALPILL          A8|08/04/2017 17:55|1|?|0|5|?|0|0|?|?|8|7210.30|0|15/07/2016|1|4610|MX|DF|?|0|0|110|?|0|11/04/2017|PRESENTE|COMPRA DEBITO SIN FIRMA|?|0|0|0|01/01/0001|?|0|0|0|0|?|?|?|4|N|?|?|17D08F|?|0|0|0|0|0|0|0|0|?|?|?|?|?|?|?|?|0|?|0|0|0|?|0|?|?|0|?|0|115|484|484|08/04/2017|0|22|51|5|1|?|?|?|0001-01-01|0001-01-01|0001-01-01|?|A9588964|3608|3608|?|?|SI
